clock: 1155 1155 1155 1155 1155 1155 1155 1155 1155 1155 1155 1155 1155 1155 1155 1155 1155 1155 1155 1410 1410 1410 1410 1410 
     data set   exec time     spread        Eff. bw       DRAM read      DRAM write         L2 read       L2 store
         1 kB       103ms       1.0%    8425.6 GB/s         0 GB/s          0 GB/s          0 GB/s          0 GB/s 
         2 kB        73ms       2.1%   11837.5 GB/s         0 GB/s          0 GB/s          0 GB/s          0 GB/s 
         4 kB        58ms       0.7%   14884.9 GB/s         0 GB/s          0 GB/s          0 GB/s          0 GB/s 
         6 kB        54ms       1.3%   16257.9 GB/s         0 GB/s          0 GB/s          0 GB/s          0 GB/s 
         8 kB        50ms       0.7%   17195.2 GB/s         0 GB/s          0 GB/s          0 GB/s          0 GB/s 
        12 kB        49ms       0.8%   17784.9 GB/s         0 GB/s          0 GB/s          0 GB/s          0 GB/s 
        16 kB        48ms       2.2%   18416.5 GB/s         0 GB/s          0 GB/s          0 GB/s          0 GB/s 
        20 kB        48ms       3.1%   18573.4 GB/s         0 GB/s          0 GB/s          0 GB/s          0 GB/s 
        24 kB        47ms       2.9%   18727.6 GB/s         0 GB/s          0 GB/s          0 GB/s          0 GB/s 
        28 kB        47ms       5.8%   19218.6 GB/s         0 GB/s          0 GB/s          0 GB/s          0 GB/s 
        32 kB        47ms       5.4%   19128.0 GB/s         0 GB/s          0 GB/s          0 GB/s          0 GB/s 
        36 kB        47ms       4.9%   19040.8 GB/s         0 GB/s          0 GB/s          0 GB/s          0 GB/s 
        40 kB        48ms       4.8%   18962.9 GB/s         0 GB/s          0 GB/s          0 GB/s          0 GB/s 
        44 kB        48ms       4.7%   18945.9 GB/s         0 GB/s          0 GB/s          0 GB/s          0 GB/s 
        48 kB        48ms       4.0%   18817.1 GB/s         0 GB/s          0 GB/s          0 GB/s          0 GB/s 
        52 kB        48ms       4.0%   18800.3 GB/s         0 GB/s          0 GB/s          0 GB/s          0 GB/s 
        56 kB        48ms       4.3%   18878.9 GB/s         0 GB/s          0 GB/s          0 GB/s          0 GB/s 
        60 kB        47ms       5.2%   19099.1 GB/s         0 GB/s          0 GB/s          0 GB/s          0 GB/s 
        64 kB        48ms       5.0%   19042.7 GB/s         0 GB/s          0 GB/s          0 GB/s          0 GB/s 
        68 kB        48ms       5.4%   19063.3 GB/s         0 GB/s          0 GB/s          0 GB/s          0 GB/s 
        72 kB        48ms       4.8%   18931.9 GB/s         0 GB/s          0 GB/s          0 GB/s          0 GB/s 
        76 kB        48ms       5.4%   19075.1 GB/s         0 GB/s          0 GB/s          0 GB/s          0 GB/s 
        80 kB        48ms       5.2%   19054.8 GB/s         0 GB/s          0 GB/s          0 GB/s          0 GB/s 
        84 kB        48ms       4.9%   19031.5 GB/s         0 GB/s          0 GB/s          0 GB/s          0 GB/s 
        88 kB        47ms       5.6%   19170.4 GB/s         0 GB/s          0 GB/s          0 GB/s          0 GB/s 
        92 kB        48ms       5.7%   19200.0 GB/s         0 GB/s          0 GB/s          0 GB/s          0 GB/s 
        96 kB        48ms       5.4%   19120.9 GB/s         0 GB/s          0 GB/s          0 GB/s          0 GB/s 
       100 kB        48ms       4.9%   19030.4 GB/s         0 GB/s          0 GB/s          0 GB/s          0 GB/s 
       104 kB        48ms       5.2%   19067.0 GB/s         0 GB/s          0 GB/s          0 GB/s          0 GB/s 
       108 kB        48ms       5.8%   19183.8 GB/s         0 GB/s          0 GB/s          0 GB/s          0 GB/s 
       112 kB        48ms       5.8%   19191.8 GB/s         0 GB/s          0 GB/s          0 GB/s          0 GB/s 
       116 kB        48ms       5.7%   19182.3 GB/s         0 GB/s          0 GB/s          0 GB/s          0 GB/s 
       120 kB        48ms       5.8%   19206.8 GB/s         0 GB/s          0 GB/s          0 GB/s          0 GB/s 
       124 kB        48ms       5.6%   19170.6 GB/s         0 GB/s          0 GB/s          0 GB/s          0 GB/s 
       128 kB        48ms       5.1%   19069.2 GB/s         0 GB/s          0 GB/s          0 GB/s          0 GB/s 
       148 kB        48ms       6.1%   19217.0 GB/s         0 GB/s          0 GB/s          0 GB/s          0 GB/s 
