clock: 1740 1740 1740 1740 1740 1740 1740 1740 1740 1740 1740 1740 1740 1740 1740 1740 1740 1740 1740 1740 1740 1740 1740 
     data set   exec time     spread        Eff. bw       DRAM read      DRAM write         L2 read       L2 store
         1 kB        91ms       4.0%    7541.9 GB/s         0 GB/s          0 GB/s          0 GB/s          0 GB/s 
         2 kB        75ms       1.4%    9064.7 GB/s         0 GB/s          0 GB/s          0 GB/s          0 GB/s 
         4 kB        72ms       0.0%    9334.3 GB/s         0 GB/s          0 GB/s          0 GB/s          0 GB/s 
         6 kB        72ms       0.1%    9351.6 GB/s         0 GB/s          0 GB/s          0 GB/s          0 GB/s 
         8 kB        72ms       0.0%    9338.2 GB/s         0 GB/s          0 GB/s          0 GB/s          0 GB/s 
        12 kB        72ms       0.1%    9355.1 GB/s         0 GB/s          0 GB/s          0 GB/s          0 GB/s 
        16 kB        72ms       0.0%    9351.0 GB/s         0 GB/s          0 GB/s          0 GB/s          0 GB/s 
        20 kB        72ms       0.1%    9349.7 GB/s         0 GB/s          0 GB/s          0 GB/s          0 GB/s 
        24 kB        72ms       0.1%    9340.7 GB/s         0 GB/s          0 GB/s          0 GB/s          0 GB/s 
        28 kB        72ms       0.1%    9352.6 GB/s         0 GB/s          0 GB/s          0 GB/s          0 GB/s 
        32 kB        72ms       0.0%    9352.9 GB/s         0 GB/s          0 GB/s          0 GB/s          0 GB/s 
        36 kB        72ms       0.0%    9352.5 GB/s         0 GB/s          0 GB/s          0 GB/s          0 GB/s 
        40 kB        72ms       0.0%    9352.2 GB/s         0 GB/s          0 GB/s          0 GB/s          0 GB/s 
        44 kB        72ms       0.1%    9352.1 GB/s         0 GB/s          0 GB/s          0 GB/s          0 GB/s 
        48 kB        72ms       0.0%    9348.8 GB/s         0 GB/s          0 GB/s          0 GB/s          0 GB/s 
        52 kB        72ms       0.0%    9350.5 GB/s         0 GB/s          0 GB/s          0 GB/s          0 GB/s 
        56 kB        72ms       0.0%    9351.6 GB/s         0 GB/s          0 GB/s          0 GB/s          0 GB/s 
        60 kB        72ms       0.0%    9350.7 GB/s         0 GB/s          0 GB/s          0 GB/s          0 GB/s 
        64 kB        72ms       0.0%    9352.4 GB/s         0 GB/s          0 GB/s          0 GB/s          0 GB/s 
        68 kB        72ms       0.1%    9353.5 GB/s         0 GB/s          0 GB/s          0 GB/s          0 GB/s 
        72 kB        72ms       0.1%    9353.2 GB/s         0 GB/s          0 GB/s          0 GB/s          0 GB/s 
        76 kB        72ms       0.0%    9351.5 GB/s         0 GB/s          0 GB/s          0 GB/s          0 GB/s 
        80 kB        72ms       0.1%    9344.2 GB/s         0 GB/s          0 GB/s          0 GB/s          0 GB/s 
        84 kB        72ms       0.0%    9346.4 GB/s         0 GB/s          0 GB/s          0 GB/s          0 GB/s 
        88 kB        72ms       0.0%    9349.1 GB/s         0 GB/s          0 GB/s          0 GB/s          0 GB/s 
        92 kB        72ms       0.1%    9352.9 GB/s         0 GB/s          0 GB/s          0 GB/s          0 GB/s 
        96 kB        72ms       0.0%    9350.9 GB/s         0 GB/s          0 GB/s          0 GB/s          0 GB/s 
       100 kB        72ms       0.0%    9350.4 GB/s         0 GB/s          0 GB/s          0 GB/s          0 GB/s 
       104 kB        72ms       0.0%    9352.4 GB/s         0 GB/s          0 GB/s          0 GB/s          0 GB/s 
       108 kB        72ms       0.0%    9350.7 GB/s         0 GB/s          0 GB/s          0 GB/s          0 GB/s 
       112 kB        72ms       0.0%    9351.0 GB/s         0 GB/s          0 GB/s          0 GB/s          0 GB/s 
       116 kB        72ms       0.0%    9351.3 GB/s         0 GB/s          0 GB/s          0 GB/s          0 GB/s 
       120 kB        73ms       4.4%    9328.9 GB/s         0 GB/s          0 GB/s          0 GB/s          0 GB/s 
