     data set   exec time     spread        Eff. bw       DRAM read      DRAM write         L2 read       L2 store
         1 kB       188ms       3.3%    6581.1 GB/s         0 GB/s          0 GB/s          0 GB/s          0 GB/s 
         2 kB       133ms      10.2%    9788.0 GB/s         0 GB/s          0 GB/s          0 GB/s          0 GB/s 
         4 kB       117ms      21.2%   12209.0 GB/s         0 GB/s          0 GB/s          0 GB/s          0 GB/s 
         6 kB       127ms       6.0%    9737.6 GB/s         0 GB/s          0 GB/s          0 GB/s          0 GB/s 
         8 kB       113ms      10.4%   11313.8 GB/s         0 GB/s          0 GB/s          0 GB/s          0 GB/s 
        12 kB       116ms      14.2%   11656.5 GB/s         0 GB/s          0 GB/s          0 GB/s          0 GB/s 
        16 kB       117ms       7.7%   11011.5 GB/s         0 GB/s          0 GB/s          0 GB/s          0 GB/s 
        20 kB       111ms      16.3%   11871.7 GB/s         0 GB/s          0 GB/s          0 GB/s          0 GB/s 
        24 kB       117ms       9.3%   11017.8 GB/s         0 GB/s          0 GB/s          0 GB/s          0 GB/s 
        28 kB       114ms      11.5%   11430.5 GB/s         0 GB/s          0 GB/s          0 GB/s          0 GB/s 
        32 kB       112ms      17.1%   11981.3 GB/s         0 GB/s          0 GB/s          0 GB/s          0 GB/s 
        36 kB       117ms       5.6%   10958.3 GB/s         0 GB/s          0 GB/s          0 GB/s          0 GB/s 
        40 kB       115ms      14.9%   11450.2 GB/s         0 GB/s          0 GB/s          0 GB/s          0 GB/s 
        44 kB       113ms      13.4%   11527.3 GB/s         0 GB/s          0 GB/s          0 GB/s          0 GB/s 
        48 kB       117ms       6.4%   10877.4 GB/s         0 GB/s          0 GB/s          0 GB/s          0 GB/s 
        52 kB       114ms      15.3%   11894.9 GB/s         0 GB/s          0 GB/s          0 GB/s          0 GB/s 
        56 kB       115ms      13.6%   11594.9 GB/s         0 GB/s          0 GB/s          0 GB/s          0 GB/s 
        60 kB       117ms       5.6%   10975.5 GB/s         0 GB/s          0 GB/s          0 GB/s          0 GB/s 
        64 kB       112ms      13.5%   11906.9 GB/s         0 GB/s          0 GB/s          0 GB/s          0 GB/s 
        68 kB       116ms      15.1%   11803.6 GB/s         0 GB/s          0 GB/s          0 GB/s          0 GB/s 
        72 kB       117ms       7.9%   10914.3 GB/s         0 GB/s          0 GB/s          0 GB/s          0 GB/s 
        76 kB       112ms      10.2%   11480.1 GB/s         0 GB/s          0 GB/s          0 GB/s          0 GB/s 
        80 kB       115ms      18.4%   12225.1 GB/s         0 GB/s          0 GB/s          0 GB/s          0 GB/s 
        84 kB       117ms       8.8%   11028.1 GB/s         0 GB/s          0 GB/s          0 GB/s          0 GB/s 
        88 kB       113ms      14.0%   11854.4 GB/s         0 GB/s          0 GB/s          0 GB/s          0 GB/s 
        92 kB       115ms      18.6%   12240.1 GB/s         0 GB/s          0 GB/s          0 GB/s          0 GB/s 
        96 kB       118ms       5.2%   10621.8 GB/s         0 GB/s          0 GB/s          0 GB/s          0 GB/s 
       100 kB       114ms      11.9%   11590.1 GB/s         0 GB/s          0 GB/s          0 GB/s          0 GB/s 
       104 kB       114ms      18.6%   12217.1 GB/s         0 GB/s          0 GB/s          0 GB/s          0 GB/s 
       108 kB       116ms       5.6%   11012.4 GB/s         0 GB/s          0 GB/s          0 GB/s          0 GB/s 
       112 kB       112ms       8.5%   11364.6 GB/s         0 GB/s          0 GB/s          0 GB/s          0 GB/s 
       116 kB       115ms      17.1%   12044.6 GB/s         0 GB/s          0 GB/s          0 GB/s          0 GB/s 
       120 kB       117ms       8.8%   11022.7 GB/s         0 GB/s          0 GB/s          0 GB/s          0 GB/s 
       124 kB       112ms      12.4%   11397.6 GB/s         0 GB/s          0 GB/s          0 GB/s          0 GB/s 
       128 kB       115ms      14.2%   11651.0 GB/s         0 GB/s          0 GB/s          0 GB/s          0 GB/s 
       148 kB       118ms       7.8%   10914.7 GB/s         0 GB/s          0 GB/s          0 GB/s          0 GB/s 
       172 kB       114ms      11.3%   11441.5 GB/s         0 GB/s          0 GB/s          0 GB/s          0 GB/s 
       204 kB       113ms      14.1%   11620.1 GB/s         0 GB/s          0 GB/s          0 GB/s          0 GB/s 
       236 kB       129ms      12.3%   10140.2 GB/s         0 GB/s          0 GB/s          0 GB/s          0 GB/s 
       280 kB       177ms      16.4%    7761.1 GB/s         0 GB/s          0 GB/s          0 GB/s          0 GB/s 
       328 kB       188ms      12.8%    7186.8 GB/s         0 GB/s          0 GB/s          0 GB/s          0 GB/s 
       384 kB       182ms      11.4%    7063.1 GB/s         0 GB/s          0 GB/s          0 GB/s          0 GB/s 
       448 kB       196ms       6.7%    6436.5 GB/s         0 GB/s          0 GB/s          0 GB/s          0 GB/s 
       524 kB       190ms      12.8%    6733.4 GB/s         0 GB/s          0 GB/s          0 GB/s          0 GB/s 
       612 kB       200ms      13.6%    6752.2 GB/s         0 GB/s          0 GB/s          0 GB/s          0 GB/s 
       716 kB       195ms      16.9%    6818.8 GB/s         0 GB/s          0 GB/s          0 GB/s          0 GB/s 
       840 kB       201ms      11.1%    6589.4 GB/s         0 GB/s          0 GB/s          0 GB/s          0 GB/s 
       984 kB       206ms      21.7%    7104.9 GB/s         0 GB/s          0 GB/s          0 GB/s          0 GB/s 
      1152 kB       202ms      16.2%    6607.3 GB/s         0 GB/s          0 GB/s          0 GB/s          0 GB/s 
      1576 kB       217ms      17.0%    6563.8 GB/s         0 GB/s          0 GB/s          0 GB/s          0 GB/s 
      1844 kB       209ms      24.9%    7177.6 GB/s         0 GB/s          0 GB/s          0 GB/s          0 GB/s 
