     data set   exec time     spread        Eff. bw       DRAM read      DRAM write         L2 read       L2 store
         1 kB        78ms       0.5%   13473.4 GB/s         0 GB/s          0 GB/s          0 GB/s          0 GB/s 
         2 kB        53ms       1.8%   20182.3 GB/s         0 GB/s          0 GB/s          0 GB/s          0 GB/s 
         4 kB        41ms       0.3%   25992.9 GB/s         0 GB/s          0 GB/s          0 GB/s          0 GB/s 
         6 kB        41ms       3.3%   26255.0 GB/s         0 GB/s          0 GB/s          0 GB/s          0 GB/s 
         8 kB        38ms       1.5%   28103.1 GB/s         0 GB/s          0 GB/s          0 GB/s          0 GB/s 
        12 kB        38ms       4.1%   28842.1 GB/s         0 GB/s          0 GB/s          0 GB/s          0 GB/s 
        16 kB        38ms       5.6%   29416.5 GB/s         0 GB/s          0 GB/s          0 GB/s          0 GB/s 
        20 kB        38ms       5.2%   29311.3 GB/s         0 GB/s          0 GB/s          0 GB/s          0 GB/s 
        24 kB        38ms       4.7%   29230.5 GB/s         0 GB/s          0 GB/s          0 GB/s          0 GB/s 
        28 kB        38ms       6.8%   29900.7 GB/s         0 GB/s          0 GB/s          0 GB/s          0 GB/s 
        32 kB        38ms       6.7%   29909.4 GB/s         0 GB/s          0 GB/s          0 GB/s          0 GB/s 
        36 kB        38ms       6.1%   29750.4 GB/s         0 GB/s          0 GB/s          0 GB/s          0 GB/s 
        40 kB        38ms       6.8%   29925.2 GB/s         0 GB/s          0 GB/s          0 GB/s          0 GB/s 
        44 kB        38ms       5.4%   29567.5 GB/s         0 GB/s          0 GB/s          0 GB/s          0 GB/s 
        48 kB        38ms       5.9%   29705.3 GB/s         0 GB/s          0 GB/s          0 GB/s          0 GB/s 
        52 kB        38ms       6.0%   29752.0 GB/s         0 GB/s          0 GB/s          0 GB/s          0 GB/s 
        56 kB        38ms       5.5%   29642.5 GB/s         0 GB/s          0 GB/s          0 GB/s          0 GB/s 
        60 kB        38ms       5.9%   29793.3 GB/s         0 GB/s          0 GB/s          0 GB/s          0 GB/s 
        64 kB        38ms       6.2%   29864.4 GB/s         0 GB/s          0 GB/s          0 GB/s          0 GB/s 
        68 kB        38ms       5.8%   29726.9 GB/s         0 GB/s          0 GB/s          0 GB/s          0 GB/s 
        72 kB        38ms       6.0%   29755.1 GB/s         0 GB/s          0 GB/s          0 GB/s          0 GB/s 
        76 kB        38ms       5.9%   29759.6 GB/s         0 GB/s          0 GB/s          0 GB/s          0 GB/s 
        80 kB        38ms       6.0%   29785.6 GB/s         0 GB/s          0 GB/s          0 GB/s          0 GB/s 
        84 kB        38ms       6.3%   29881.5 GB/s         0 GB/s          0 GB/s          0 GB/s          0 GB/s 
