clock: 131 131 131 131 131 131 131 131 131 131 131 131 131 131 131 131 131 131 131 131 131 131 131 131 
     data set   exec time     spread        Eff. bw       DRAM read      DRAM write         L2 read       L2 store
         4 kB       252ms       0.5%   38806.5 GB/s         0 GB/s          0 GB/s          0 GB/s          0 GB/s 
         8 kB       254ms       0.5%   38390.2 GB/s         0 GB/s          0 GB/s          0 GB/s          0 GB/s 
        16 kB       256ms       0.5%   38174.6 GB/s         0 GB/s          0 GB/s          0 GB/s          0 GB/s 
        24 kB       248ms       0.3%   39333.4 GB/s         0 GB/s          0 GB/s          0 GB/s          0 GB/s 
        32 kB       252ms       0.7%   38824.5 GB/s         0 GB/s          0 GB/s          0 GB/s          0 GB/s 
        48 kB       263ms       1.0%   37153.7 GB/s         0 GB/s          0 GB/s          0 GB/s          0 GB/s 
        64 kB       313ms       7.3%   32821.0 GB/s         0 GB/s          0 GB/s          0 GB/s          0 GB/s 
        80 kB       333ms      10.6%   32139.2 GB/s         0 GB/s          0 GB/s          0 GB/s          0 GB/s 
        96 kB       368ms       7.6%   28243.8 GB/s         0 GB/s          0 GB/s          0 GB/s          0 GB/s 
       112 kB       381ms       7.2%   27229.7 GB/s         0 GB/s          0 GB/s          0 GB/s          0 GB/s 
       128 kB       380ms       8.6%   27705.3 GB/s         0 GB/s          0 GB/s          0 GB/s          0 GB/s 
       144 kB       383ms      10.3%   27876.7 GB/s         0 GB/s          0 GB/s          0 GB/s          0 GB/s 
       160 kB       382ms       8.9%   27451.7 GB/s         0 GB/s          0 GB/s          0 GB/s          0 GB/s 
       176 kB       377ms      10.4%   28449.9 GB/s         0 GB/s          0 GB/s          0 GB/s          0 GB/s 
       192 kB       377ms      10.9%   28324.5 GB/s         0 GB/s          0 GB/s          0 GB/s          0 GB/s 
       208 kB       374ms       9.3%   28142.7 GB/s         0 GB/s          0 GB/s          0 GB/s          0 GB/s 
       224 kB       375ms      10.3%   28439.7 GB/s         0 GB/s          0 GB/s          0 GB/s          0 GB/s 
       240 kB       373ms       9.9%   28407.8 GB/s         0 GB/s          0 GB/s          0 GB/s          0 GB/s 
       256 kB       373ms      11.0%   28584.3 GB/s         0 GB/s          0 GB/s          0 GB/s          0 GB/s 
       272 kB       377ms       6.9%   27513.3 GB/s         0 GB/s          0 GB/s          0 GB/s          0 GB/s 
       288 kB       380ms       7.9%   27538.9 GB/s         0 GB/s          0 GB/s          0 GB/s          0 GB/s 
       304 kB       383ms       8.8%   27587.4 GB/s         0 GB/s          0 GB/s          0 GB/s          0 GB/s 
       320 kB       384ms       6.6%   26954.4 GB/s         0 GB/s          0 GB/s          0 GB/s          0 GB/s 
       336 kB       382ms       5.5%   26788.6 GB/s         0 GB/s          0 GB/s          0 GB/s          0 GB/s 
       352 kB       380ms       8.6%   27649.9 GB/s         0 GB/s          0 GB/s          0 GB/s          0 GB/s 
       368 kB       380ms       8.2%   27578.7 GB/s         0 GB/s          0 GB/s          0 GB/s          0 GB/s 
       384 kB       381ms       8.1%   27541.7 GB/s         0 GB/s          0 GB/s          0 GB/s          0 GB/s 
       400 kB       383ms       7.9%   27302.8 GB/s         0 GB/s          0 GB/s          0 GB/s          0 GB/s 
       416 kB       383ms       9.1%   27566.3 GB/s         0 GB/s          0 GB/s          0 GB/s          0 GB/s 
       432 kB       383ms       8.8%   27574.4 GB/s         0 GB/s          0 GB/s          0 GB/s          0 GB/s 
       448 kB       382ms       8.6%   27539.7 GB/s         0 GB/s          0 GB/s          0 GB/s          0 GB/s 
       464 kB       382ms       8.7%   27582.2 GB/s         0 GB/s          0 GB/s          0 GB/s          0 GB/s 
       480 kB       378ms       8.4%   27627.4 GB/s         0 GB/s          0 GB/s          0 GB/s          0 GB/s 
       496 kB       379ms       8.1%   27613.2 GB/s         0 GB/s          0 GB/s          0 GB/s          0 GB/s 
       512 kB       380ms       8.7%   27705.5 GB/s         0 GB/s          0 GB/s          0 GB/s          0 GB/s 
       592 kB       380ms       8.6%   27664.6 GB/s         0 GB/s          0 GB/s          0 GB/s          0 GB/s 
       688 kB       382ms       8.3%   27495.1 GB/s         0 GB/s          0 GB/s          0 GB/s          0 GB/s 
       816 kB       389ms      11.3%   27229.5 GB/s         0 GB/s          0 GB/s          0 GB/s          0 GB/s 
       944 kB       393ms       9.9%   26977.2 GB/s         0 GB/s          0 GB/s          0 GB/s          0 GB/s 
      1120 kB       396ms       9.7%   26739.3 GB/s         0 GB/s          0 GB/s          0 GB/s          0 GB/s 
      1312 kB       391ms       9.5%   27218.1 GB/s         0 GB/s          0 GB/s          0 GB/s          0 GB/s 
      1536 kB       390ms      11.0%   27527.7 GB/s         0 GB/s          0 GB/s          0 GB/s          0 GB/s 
      1792 kB       391ms       8.8%   26955.0 GB/s         0 GB/s          0 GB/s          0 GB/s          0 GB/s 
