clock: 500 500 500 500 500 500 500 500 500 500 500 500 500 500 500 2390 2555 2555 2555 2555 2555 2555 2555 2555 2555 
     data set   exec time     spread        Eff. bw       DRAM read      DRAM write         L2 read       L2 store
         4 kB       183ms       0.8%    7026.6 GB/s         0 GB/s          0 GB/s          0 GB/s          0 GB/s 
         8 kB        96ms       2.7%   13390.7 GB/s         0 GB/s          0 GB/s          0 GB/s          0 GB/s 
        16 kB        66ms       3.1%   20007.9 GB/s         0 GB/s          0 GB/s          0 GB/s          0 GB/s 
        24 kB        78ms      12.4%   17342.6 GB/s         0 GB/s          0 GB/s          0 GB/s          0 GB/s 
        32 kB        79ms      32.8%   23258.3 GB/s         0 GB/s          0 GB/s          0 GB/s          0 GB/s 
        48 kB       130ms      45.0%   16321.4 GB/s         0 GB/s          0 GB/s          0 GB/s          0 GB/s 
        64 kB       140ms      37.4%   13716.8 GB/s         0 GB/s          0 GB/s          0 GB/s          0 GB/s 
        80 kB       168ms      34.6%   11165.1 GB/s         0 GB/s          0 GB/s          0 GB/s          0 GB/s 
        96 kB       169ms      34.8%   11156.0 GB/s         0 GB/s          0 GB/s          0 GB/s          0 GB/s 
       112 kB       177ms      33.3%   10390.6 GB/s         0 GB/s          0 GB/s          0 GB/s          0 GB/s 
       128 kB       173ms      33.7%   10748.2 GB/s         0 GB/s          0 GB/s          0 GB/s          0 GB/s 
       144 kB       185ms      33.6%    9977.5 GB/s         0 GB/s          0 GB/s          0 GB/s          0 GB/s 
       160 kB       186ms      33.4%    9947.0 GB/s         0 GB/s          0 GB/s          0 GB/s          0 GB/s 
       176 kB       184ms      19.6%    8502.6 GB/s         0 GB/s          0 GB/s          0 GB/s          0 GB/s 
       192 kB       189ms      18.8%    8169.6 GB/s         0 GB/s          0 GB/s          0 GB/s          0 GB/s 
       208 kB       197ms      19.7%    7919.8 GB/s         0 GB/s          0 GB/s          0 GB/s          0 GB/s 
       224 kB       210ms      20.4%    7495.5 GB/s         0 GB/s          0 GB/s          0 GB/s          0 GB/s 
       240 kB       221ms      21.0%    7143.2 GB/s         0 GB/s          0 GB/s          0 GB/s          0 GB/s 
       256 kB       230ms      21.3%    6854.5 GB/s         0 GB/s          0 GB/s          0 GB/s          0 GB/s 
       272 kB       234ms      26.6%    7143.5 GB/s         0 GB/s          0 GB/s          0 GB/s          0 GB/s 
       288 kB       243ms      25.7%    6850.2 GB/s         0 GB/s          0 GB/s          0 GB/s          0 GB/s 
       304 kB       250ms      26.3%    6702.9 GB/s         0 GB/s          0 GB/s          0 GB/s          0 GB/s 
       320 kB       258ms      26.1%    6487.3 GB/s         0 GB/s          0 GB/s          0 GB/s          0 GB/s 
       336 kB       266ms      26.5%    6309.1 GB/s         0 GB/s          0 GB/s          0 GB/s          0 GB/s 
       352 kB       273ms      27.2%    6192.3 GB/s         0 GB/s          0 GB/s          0 GB/s          0 GB/s 
       368 kB       280ms      26.8%    6041.1 GB/s         0 GB/s          0 GB/s          0 GB/s          0 GB/s 
       384 kB       285ms      28.3%    5996.4 GB/s         0 GB/s          0 GB/s          0 GB/s          0 GB/s 
       400 kB       291ms      28.0%    5820.4 GB/s         0 GB/s          0 GB/s          0 GB/s          0 GB/s 
       416 kB       297ms      28.0%    5731.5 GB/s         0 GB/s          0 GB/s          0 GB/s          0 GB/s 
       432 kB       302ms      28.4%    5647.9 GB/s         0 GB/s          0 GB/s          0 GB/s          0 GB/s 
       448 kB       306ms      28.3%    5571.4 GB/s         0 GB/s          0 GB/s          0 GB/s          0 GB/s 
       464 kB       311ms      28.3%    5508.5 GB/s         0 GB/s          0 GB/s          0 GB/s          0 GB/s 
       480 kB       315ms      28.9%    5450.3 GB/s         0 GB/s          0 GB/s          0 GB/s          0 GB/s 
       496 kB       318ms      28.6%    5380.3 GB/s         0 GB/s          0 GB/s          0 GB/s          0 GB/s 
       512 kB       319ms      30.5%    5467.2 GB/s         0 GB/s          0 GB/s          0 GB/s          0 GB/s 
